"Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"David Johnson (ARI)","293","1,239","4.2","58","6","16","80","120","879","11.0","4","3","16","407.8","25.5","100.0%"
"Ezekiel Elliott (DAL)","322","1,631","5.1","60","14","15","32","40","363","11.3","1","1","15","325.4","21.7","100.0%"
"Le'Veon Bell (PIT)","261","1,268","4.9","44","4","7","75","94","616","8.2","2","1","12","317.4","26.5","100.0%"
"LeSean McCoy (BUF)","234","1,267","5.4","75","11","13","51","58","356","7.0","1","0","15","299.3","20.0","99.0%"
"DeMarco Murray (TEN)","293","1,287","4.4","75","4","9","53","67","377","7.1","3","1","16","293.8","18.4","99.0%"
"Devonta Freeman (ATL)","227","1,079","4.8","75","7","11","54","65","462","8.6","2","1","16","284.1","17.8","99.0%"
"Melvin Gordon (LAC)","254","997","3.9","48","7","10","41","57","419","10.2","2","2","13","250.6","19.3","99.0%"
"Mark Ingram (NO)","205","1,043","5.1","75","4","6","46","58","319","6.9","4","2","16","242.2","15.1","91.0%"
"LeGarrette Blount (PHI)","299","1,161","3.9","44","7","18","7","8","38","5.4","0","1","16","232.9","14.6","87.0%"
"Jordan Howard (CHI)","252","1,313","5.2","69","10","6","29","50","298","10.3","1","1","15","230.1","15.3","99.0%"
"Jay Ajayi (MIA)","260","1,272","4.9","62","10","8","27","35","151","5.6","0","1","15","215.3","14.4","99.0%"
"Frank Gore (IND)","263","1,026","3.9","22","1","4","38","47","277","7.3","4","1","16","214.3","13.4","79.0%"
"Latavius Murray (MIN)","195","788","4.0","42","5","12","33","43","264","8.0","0","1","14","208.2","14.9","61.0%"
"Isaiah Crowell (CLE)","197","944","4.8","85","8","7","40","53","319","8.0","0","2","16","204.3","12.8","93.0%"
"Todd Gurley (LAR)","278","885","3.2","24","2","6","43","58","327","7.6","0","1","16","198.2","12.4","98.0%"
"Bilal Powell (NYJ)","131","722","5.5","35","4","3","58","75","388","6.7","2","1","16","197.0","12.3","82.0%"
"Spencer Ware (KC)","214","922","4.3","46","3","3","33","42","447","13.5","2","3","14","193.9","13.9","91.0%"
"Carlos Hyde (SF)","217","988","4.6","47","7","6","27","33","163","6.0","3","3","13","192.1","14.8","92.0%"
"Lamar Miller (HOU)","268","1,073","4.0","45","7","5","31","39","188","6.1","1","1","14","191.1","13.7","98.0%"
"Tevin Coleman (ATL)","118","520","4.4","55","5","8","31","40","421","13.6","3","0","13","191.1","14.7","88.0%"
"Matt Forte (NYJ)","218","813","3.7","32","5","7","30","43","263","8.8","1","1","14","183.6","13.1","57.0%"
"Jeremy Hill (CIN)","222","839","3.8","74","5","9","21","27","174","8.3","0","0","15","176.3","11.8","47.0%"
"Terrance West (BAL)","193","774","4.0","41","5","5","34","45","236","6.9","1","0","16","171.0","10.7","34.0%"
"Darren Sproles (PHI)","94","438","4.7","25","1","2","52","71","427","8.2","2","0","15","162.5","10.8","15.0%"
"Theo Riddick (DET)","92","357","3.9","42","2","1","53","67","371","7.0","5","0","10","161.8","16.2","26.0%"
"James White (NE)","39","166","4.3","16","0","0","60","86","551","9.2","5","0","16","161.7","10.1","25.0%"
"Jerick McKinnon (MIN)","159","539","3.4","36","2","2","43","53","255","5.9","2","0","15","148.4","9.9","6.0%"
"Chris Thompson (WAS)","68","356","5.2","25","2","3","49","62","349","7.1","2","1","16","147.5","9.2","6.0%"
"Jonathan Stewart (CAR)","218","824","3.8","47","6","9","8","21","60","7.5","0","2","13","146.4","11.3","59.0%"
"Duke Johnson (CLE)","74","366","4.9","22","2","1","53","74","514","9.7","0","1","16","145.0","9.1","22.0%"
"Ryan Mathews (PHI)","155","661","4.3","30","6","8","13","14","115","8.8","1","2","13","144.6","11.1","9.0%"
"Devontae Booker (DEN)","174","612","3.5","18","0","4","31","46","265","8.5","1","3","16","142.7","8.9","8.0%"
"T.J. Yeldon (JAC)","130","465","3.6","16","0","1","50","68","312","6.2","1","1","15","137.7","9.2","9.0%"
"Christine Michael (IND)","148","583","3.9","42","3","7","22","29","107","4.9","1","1","15","137.0","9.1","3.0%"
"Robert Kelley (WAS)","168","704","4.2","66","4","6","12","18","82","6.8","1","0","14","132.6","9.5","51.0%"
"Matt Asiata (DET)","121","402","3.3","29","2","6","32","38","263","8.2","0","1","16","132.5","8.3","2.0%"
"Tim Hightower (SF)","133","548","4.1","30","4","4","22","26","200","9.1","1","0","16","126.8","7.9","8.0%"
"Mike Gillislee (NE)","101","576","5.7","44","7","8","9","11","50","5.6","1","0","15","125.6","8.4","82.0%"
"Giovani Bernard (CIN)","91","337","3.7","17","0","2","39","51","336","8.6","1","1","10","122.3","12.2","14.0%"
"Jalen Richard (OAK)","83","492","5.9","75","5","1","29","39","194","6.7","2","0","16","115.6","7.2","7.0%"
"Shaun Draughn (NYG)","74","196","2.6","18","0","4","29","39","263","9.1","2","1","15","108.9","7.3","1.0%"
"Robert Turbin (IND)","47","164","3.5","18","0","7","26","35","179","6.9","1","0","15","108.3","7.2","4.0%"
"Derrick Henry (TEN)","110","490","4.5","22","1","5","13","15","137","10.5","0","0","14","105.7","7.6","57.0%"
"C.J. Anderson (DEN)","110","437","4.0","28","1","4","16","24","128","8.0","1","0","7","102.5","14.6","90.0%"
"Kenneth Dixon (BAL)","88","382","4.3","20","1","2","30","41","162","5.4","1","0","12","102.4","8.5","18.0%"
"Chris Ivory (JAC)","117","439","3.8","42","2","3","20","28","186","9.3","0","3","11","94.5","8.6","5.0%"
"Charcandrick West (KC)","88","293","3.3","28","2","1","28","34","188","6.7","2","0","15","94.1","6.3","3.0%"
"Travaris Cadet (NO)","4","19","4.8","16","0","0","40","54","281","7.0","4","0","15","94.0","6.3","1.0%"
"Damien Williams (MIA)","35","115","3.3","23","1","3","23","32","249","10.8","3","1","15","93.4","6.2","2.0%"
"Zach Zenner (DET)","88","334","3.8","20","1","4","18","23","196","10.9","0","1","11","93.0","8.5","2.0%"
"Jacquizz Rodgers (TB)","129","560","4.3","45","3","2","13","16","98","7.5","0","0","10","90.8","9.1","22.0%"
"Doug Martin (TB)","144","421","2.9","17","0","3","14","16","134","9.6","0","1","8","85.5","10.7","63.0%"
"DeAndre Washington (OAK)","87","467","5.4","30","7","2","17","23","115","6.8","0","1","13","85.2","6.6","7.0%"
"Paul Perkins (NYG)","112","456","4.1","22","2","0","15","24","162","10.8","0","0","13","76.8","5.9","80.0%"
"Rex Burkhead (NE)","74","344","4.6","17","0","2","17","20","145","8.5","0","1","14","75.9","5.4","7.0%"
"Thomas Rawls (SEA)","109","349","3.2","45","1","3","13","17","96","7.4","0","0","9","75.5","8.4","20.0%"
"Matt Jones (WAS)","99","460","4.6","57","3","3","8","8","73","9.1","0","2","7","75.3","10.8","4.0%"
"Kyle Juszczyk (SF)","5","22","4.4","10","0","1","37","49","266","7.2","0","0","16","73.8","4.6","0.0%"
"Jeremy Langford (CHI)","62","200","3.2","23","1","4","19","27","142","7.5","0","2","12","73.2","6.1","4.0%"
"Fozzy Whittaker (CAR)","57","265","4.6","25","1","0","25","33","226","9.0","0","1","16","72.1","4.5","1.0%"
"Charles Sims (TB)","51","149","2.9","23","1","1","24","32","190","7.9","1","1","7","67.9","9.7","11.0%"
"Alfred Blue (HOU)","100","420","4.2","25","2","1","12","16","40","3.3","0","1","14","62.0","4.4","1.0%"
"C.J. Prosise (SEA)","30","172","5.7","72","1","1","17","19","208","12.2","0","0","6","61.0","10.2","23.0%"
"Jamize Olawale (OAK)","17","47","2.8","17","0","2","12","14","227","18.9","1","0","13","57.4","4.4","0.0%"
"John Kuhn (NO)","18","37","2.1","4","0","4","16","20","70","4.4","1","0","13","56.7","4.4","0.0%"
"Dion Lewis (NE)","64","283","4.4","15","0","0","17","24","94","5.5","0","0","7","54.7","7.8","12.0%"
"Dwayne Washington (DET)","90","265","2.9","28","1","1","10","15","62","6.2","0","0","11","48.7","4.4","1.0%"
"Wendell Smallwood (PHI)","77","312","4.1","19","0","1","6","13","55","9.2","0","1","12","46.7","3.9","4.0%"
"Aaron Ripkowski (GB)","34","150","4.4","15","0","2","9","10","46","5.1","1","0","10","46.6","4.7","0.0%"
"Kenyan Drake (MIA)","33","179","5.4","45","1","2","9","10","46","5.1","0","0","13","43.5","3.3","3.0%"
"Eddie Lacy (SEA)","71","360","5.1","31","4","0","4","7","28","7.0","0","0","5","42.8","8.6","92.0%"
"Alfred Morris (DAL)","69","243","3.5","17","0","2","3","6","11","3.7","0","0","14","40.4","2.9","3.0%"
"Bobby Rainey (BAL)","17","63","3.7","14","0","0","20","25","153","7.7","0","1","11","39.6","3.6","0.0%"
"Shane Vereen (NYG)","33","158","4.8","25","1","1","11","19","94","8.5","0","2","5","38.2","7.6","5.0%"
"Lance Dunbar (LAR)","9","31","3.4","10","0","1","16","24","122","7.6","0","0","12","37.3","3.1","1.0%"
"Kenneth Farrow (LAC)","60","192","3.2","11","0","0","13","16","70","5.4","0","1","11","37.2","3.4","1.0%"
"Peyton Barber (TB)","55","223","4.1","44","1","1","5","6","28","5.6","0","0","10","36.1","3.6","1.0%"
"Corey Grant (JAC)","32","164","5.1","57","1","1","4","7","35","8.8","1","0","10","35.9","3.6","0.0%"
"Alex Collins (SEA)","31","125","4.0","26","1","1","11","11","84","7.6","0","1","9","35.9","4.0","1.0%"
"Josh Ferguson (IND)","15","20","1.3","11","0","0","20","26","136","6.8","0","0","14","35.6","2.5","1.0%"
"Benny Cunningham (CHI)","21","101","4.8","24","2","0","16","21","91","5.7","0","0","11","35.2","3.2","1.0%"
"Mike Tolbert (BUF)","35","114","3.3","14","0","0","10","15","72","7.2","1","0","16","34.6","2.2","0.0%"
"Kenjon Barner (LAC)","27","129","4.8","19","0","2","5","11","42","8.4","0","0","11","34.1","3.1","0.0%"
"Andre Ellington (ARI)","34","96","2.8","13","0","0","12","19","85","7.1","0","0","14","30.1","2.2","2.0%"
"Ronnie Hillman (DAL)","41","131","3.2","17","0","0","7","15","93","13.3","0","0","8","29.4","3.7","1.0%"
"Kerwynn Williams (ARI)","18","157","8.7","49","3","2","1","2","6","6.0","0","0","5","29.3","5.9","1.0%"
"Cameron Artis-Payne (CAR)","36","144","4.0","14","0","2","1","1","11","11.0","0","0","3","28.5","9.5","1.0%"
"Kapri Bibbs (SF)","29","129","4.4","24","1","0","2","4","75","37.5","1","0","9","28.4","3.2","1.0%"
"Danny Woodhead (BAL)","19","116","6.1","23","2","0","6","8","35","5.8","1","0","2","27.1","13.6","42.0%"
"Ameer Abdullah (DET)","18","101","5.6","24","1","0","5","5","57","11.4","1","0","2","26.8","13.4","74.0%"
"Orleans Darkwa (NYG)","30","111","3.7","17","0","2","2","4","12","6.0","0","0","6","26.3","4.4","0.0%"
"Ka'Deem Carey (CHI)","32","126","3.9","24","1","0","5","7","55","11.0","0","0","11","23.1","2.1","0.0%"
"C.J. Spiller (KC)","6","18","3.0","13","0","0","6","13","50","8.3","1","0","6","18.8","3.1","1.0%"
"Andy Janovich (DEN)","4","33","8.3","28","1","1","5","7","44","8.8","0","0","9","18.7","2.1","0.0%"
"Patrick DiMarco (BUF)","0","0","0","0","0","0","7","10","52","7.4","1","0","9","18.2","2.0","0.0%"
"Terron Ward (ATL)","31","151","4.9","45","2","0","1","2","11","11.0","0","0","5","17.2","3.4","0.0%"
"Akeem Hunt (HOU)","20","109","5.5","19","0","0","3","4","29","9.7","0","0","8","16.8","2.1","0.0%"
"Alan Cross (TB)","0","0","0","0","0","0","6","10","38","6.3","1","0","11","15.8","1.4","0.0%"
"Chris Johnson (ARI)","25","95","3.8","18","0","1","0","1","0","0","0","0","4","15.5","3.9","1.0%"
"Mack Brown (WAS)","8","82","10.3","61","1","1","1","1","-2","-2.0","0","0","2","15.0","7.5","0.0%"
"Mike Davis (SEA)","19","50","2.6","8","0","1","3","5","25","8.3","0","1","7","14.5","2.1","0.0%"
"Marcel Reece (SEA)","2","0","0.0","0","0","0","5","5","73","14.6","0","0","4","14.2","3.6","0.0%"
"Darren McFadden (DAL)","24","87","3.6","24","1","0","3","5","17","5.7","0","0","3","13.4","4.5","13.0%"
"Jamaal Charles (DEN)","12","40","3.3","17","0","1","2","3","14","7.0","0","0","3","13.4","4.5","41.0%"
"De'Anthony Thomas (KC)","4","29","7.3","23","1","0","7","9","35","5.0","0","0","10","13.4","1.3","2.0%"
"Derek Watt (LAC)","2","4","2.0","2","0","0","4","4","83","20.8","0","0","8","12.7","1.6","0.0%"
"Jonathan Williams (BUF)","27","94","3.5","20","1","1","1","2","0","0.0","0","2","8","12.4","1.6","6.0%"
"Fitzgerald Toussaint (PIT)","14","58","4.1","16","0","0","3","3","33","11.0","0","0","12","12.1","1.0","0.0%"
"Knile Davis (PIT)","18","28","1.6","6","0","0","5","7","25","5.0","0","0","9","10.3","1.1","0.0%"
"Terrell Watson (PIT)","9","28","3.1","8","0","1","1","1","5","5.0","0","0","1","10.3","10.3","0.0%"
"Malcolm Brown (LAR)","18","39","2.2","10","0","0","3","3","46","15.3","0","1","10","9.5","1.0","0.0%"
"George Atkinson (OAK)","7","34","4.9","11","0","1","0","0","0","0","0","0","9","9.4","1.0","0.0%"
"Adrian Peterson (NO)","37","72","1.9","13","0","0","3","6","8","2.7","0","1","3","9.0","3.0","88.0%"
"Andre Williams (LAC)","18","87","4.8","14","0","0","0","2","0","0","0","0","1","8.7","8.7","0.0%"
"Juwan Thompson (DEN)","8","26","3.3","14","0","1","0","1","0","0","0","0","5","8.6","1.7","0.0%"
"Mike James (DET)","4","19","4.8","9","0","0","4","4","22","5.5","0","0","3","8.1","2.7","0.0%"
"Javorius Allen (BAL)","9","34","3.8","7","0","0","3","4","15","5.0","0","0","4","7.9","2.0","1.0%"
"Dan Vitale (CLE)","0","0","0","0","0","0","4","5","27","6.8","0","0","5","6.7","1.3","0.0%"
"Brandon Wilds (CLE)","10","27","2.7","6","0","0","2","2","20","10.0","0","0","3","6.7","2.2","0.0%"
"Daniel Lasco (NO)","11","32","2.9","6","0","0","2","4","11","5.5","0","0","5","6.3","1.3","0.0%"
"Jordan Todman (NYJ)","9","59","6.6","19","0","0","0","1","0","0","0","0","13","5.9","0.5","0.0%"
"Troymaine Pope (IND)","12","44","3.7","18","0","0","1","2","5","5.0","0","0","4","5.9","1.5","0.0%"
"Byron Marshall (PHI)","19","64","3.4","12","0","0","3","5","10","3.3","0","0","2","5.6","2.8","0.0%"
"Anthony Sherman (KC)","0","0","0","0","0","0","4","6","11","2.8","0","0","8","5.1","0.6","0.0%"
"James Develin (NE)","0","0","0","0","0","0","3","6","18","6.0","0","0","9","4.8","0.5","0.0%"
"Lorenzo Taliaferro (BAL)","1","0","0.0","0","0","0","3","3","10","3.3","0","0","1","4.0","4.0","0.0%"
"Brandon Bolden (NE)","1","4","4.0","4","0","0","2","4","15","7.5","0","0","6","3.9","0.7","0.0%"
"D.J. Foster (NE)","7","24","3.4","7","0","0","1","2","2","2.0","0","0","3","3.6","1.2","0.0%"
"Jalston Fowler (TEN)","1","3","3.0","3","0","0","1","2","14","14.0","0","0","5","2.7","0.5","0.0%"
"Jay Prosch (HOU)","4","9","2.3","5","0","0","1","1","6","6.0","0","0","7","2.5","0.4","1.0%"
"Roosevelt Nix (PIT)","0","0","0","0","0","0","2","2","5","2.5","0","0","6","2.5","0.4","0.0%"
"Cedric Peerman (CIN)","6","15","2.5","4","0","0","0","1","0","0","0","0","4","1.5","0.4","0.0%"
"Rod Smith (DAL)","0","0","0","0","0","0","1","1","4","4.0","0","0","3","1.4","0.5","0.0%"
"Marcus Murphy (NYJ)","0","0","0","0","0","0","1","1","3","3.0","0","0","2","1.3","0.7","0.0%"
"Terrance Magee (CLE)","3","12","4.0","5","0","0","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"Keith Smith (DAL)","2","5","2.5","3","0","0","3","3","20","6.7","0","0","6","1.1","0.2","0.0%"
