"Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"Antonio Brown (PIT)","106","154","1,284","12.1","51","22","12","3","9","0","0","15","307.3","20.5","100.0%"
"Jordy Nelson (GB)","97","152","1,257","13.0","60","19","14","0","0","0","1","16","304.7","19.0","100.0%"
"Mike Evans (TB)","96","171","1,321","13.8","45","15","12","0","0","0","0","16","304.1","19.0","100.0%"
"Odell Beckham Jr. (NYG)","101","169","1,367","13.5","75","20","10","1","9","0","1","16","296.6","18.5","100.0%"
"T.Y. Hilton (IND)","91","155","1,448","15.9","63","28","6","0","0","0","0","16","273.8","17.1","100.0%"
"Julio Jones (ATL)","83","129","1,409","17.0","75","27","6","0","0","0","0","14","259.9","18.6","100.0%"
"Michael Thomas (NO)","92","121","1,137","12.4","46","18","9","0","0","0","2","15","255.7","17.0","100.0%"
"Doug Baldwin (SEA)","94","125","1,128","12.0","59","16","7","3","2","0","0","16","253.6","15.9","99.5%"
"Davante Adams (GB)","75","121","997","13.3","66","17","12","0","0","0","1","16","246.7","15.4","98.5%"
"Brandin Cooks (NE)","78","117","1,173","15.0","98","15","8","6","30","0","0","15","246.3","16.4","99.5%"
"Larry Fitzgerald (ARI)","108","151","1,028","9.5","33","8","6","1","1","0","1","16","244.9","15.3","96.0%"
"Michael Crabtree (OAK)","89","145","1,003","11.3","56","10","8","0","0","0","0","16","239.3","15.0","97.0%"
"Jarvis Landry (MIA)","94","131","1,138","12.1","71","16","4","5","17","0","2","16","231.5","14.5","97.0%"
"Amari Cooper (OAK)","82","131","1,149","14.0","64","21","5","1","0","0","0","16","230.9","14.4","100.0%"
"Julian Edelman (NE)","98","160","1,106","11.3","77","11","3","12","57","0","2","16","230.3","14.4","98.0%"
"Demaryius Thomas (DEN)","90","144","1,083","12.0","55","10","5","0","0","0","2","16","226.3","14.1","99.5%"
"Golden Tate (DET)","91","135","1,077","11.8","67","13","4","10","4","0","1","16","223.1","13.9","95.5%"
"Tyrell Williams (LAC)","69","119","1,059","15.3","51","19","7","0","0","0","0","16","216.9","13.6","82.4%"
"Terrelle Pryor (WAS)","77","141","1,007","13.1","54","11","4","8","21","1","0","16","213.4","13.3","98.5%"
"Emmanuel Sanders (DEN)","79","137","1,032","13.1","64","12","5","1","4","0","0","15","212.6","14.2","96.5%"
"Rishard Matthews (TEN)","65","108","945","14.5","60","16","9","0","0","0","1","16","211.5","13.2","83.6%"
"Mike Wallace (BAL)","72","117","1,017","14.1","95","10","4","5","31","0","0","16","202.8","12.7","83.0%"
"Pierre Garcon (SF)","79","114","1,041","13.2","70","15","3","0","0","0","0","16","201.1","12.6","87.0%"
"Allen Robinson (JAC)","73","150","883","12.1","42","11","6","0","0","0","0","16","199.3","12.5","99.0%"
"Tyreek Hill (KC)","61","83","593","9.7","49","8","6","24","267","3","1","16","199.0","12.4","98.0%"
