ADP,Overall,Name,Position,Team,Times Drafted,Bye
1.01,1.5,David Johnson,RB,ARI,996,8
1.02,2.2,LeVeon Bell,RB,PIT,989,9
1.04,3.8,Ezekiel Elliott,RB,DAL,715,6
1.04,3.9,Antonio Brown,WR,PIT,953,9
1.05,5.3,Julio Jones,WR,ATL,926,5
1.06,5.9,Odell Beckham Jr,WR,NYG,1017,8
1.07,7.5,LeSean McCoy,RB,BUF,944,6
1.09,8.5,Mike Evans,WR,TB,922,11
1.09,9.3,A.J. Green,WR,CIN,1002,6
1.10,9.8,Melvin Gordon,RB,LAC,983,9
1.11,10.8,Devonta Freeman,RB,ATL,1004,5
1.12,11.6,Jordy Nelson,WR,GB,1034,8
2.02,14.2,Jay Ajayi,RB,MIA,878,11
2.02,14.3,Michael Thomas,WR,NO,989,5
2.03,15.0,DeMarco Murray,RB,TEN,1018,8
2.04,16.0,Jordan Howard,RB,CHI,996,9
2.06,17.8,T.Y. Hilton,WR,IND,880,11
2.06,18.3,Amari Cooper,WR,OAK,950,10
2.07,19.4,Dez Bryant,WR,DAL,948,6
2.09,20.7,Todd Gurley,RB,LAR,851,8
2.09,21.3,Rob Gronkowski,TE,NE,927,9
2.10,21.8,Leonard Fournette,RB,JAC,983,8
2.10,21.9,Doug Baldwin,WR,SEA,924,6
2.12,24.1,Brandin Cooks,WR,NE,861,9
3.01,25.2,Marshawn Lynch,RB,OAK,842,10
3.02,25.8,DeAndre Hopkins,WR,HOU,899,7
3.03,26.8,Aaron Rodgers,QB,GB,890,8
3.03,27.0,Lamar Miller,RB,HOU,924,7
3.06,29.8,Demaryius Thomas,WR,DEN,897,5
3.06,30.2,Isaiah Crowell,RB,CLE,893,9
3.06,30.5,Keenan Allen,WR,LAC,950,9
3.08,31.6,Terrelle Pryor,WR,WAS,949,5
3.08,32.0,Tom Brady,QB,NE,744,9
3.09,32.9,Ty Montgomery,RB,GB,980,8
3.10,34.2,Travis Kelce,TE,KC,791,10
3.10,34.3,Sammy Watkins,WR,BUF,931,6
3.11,35.2,Christian McCaffrey,RB,CAR,1023,11
4.02,38.1,Allen Robinson,WR,JAC,797,8
4.02,38.4,Joe Mixon,RB,CIN,776,6
4.03,38.9,Alshon Jeffery,WR,PHI,927,10
4.04,40.0,Jarvis Landry,WR,MIA,1011,11
4.06,41.8,Davante Adams,WR,GB,899,8
4.08,43.6,Martavis Bryant,WR,PIT,844,9
4.08,44.1,Tyreek Hill,WR,KC,845,10
4.09,44.7,Drew Brees,QB,NO,624,5
4.10,45.7,Jordan Reed,TE,WAS,564,5
4.11,46.7,Michael Crabtree,WR,OAK,837,10
4.11,47.0,Danny Woodhead,RB,BAL,930,10
4.11,47.3,Golden Tate,WR,DET,876,7
4.11,47.4,Carlos Hyde,RB,SF,713,11
5.01,49.1,Spencer Ware,RB,KC,750,10
5.03,51.4,Julian Edelman,WR,NE,907,9
5.04,52.2,Mike Gillislee,RB,NE,932,9
5.05,52.7,Greg Olsen,TE,CAR,739,11
5.05,53.3,Dalvin Cook,RB,MIN,1028,9
5.06,53.7,Larry Fitzgerald,WR,ARI,847,8
5.08,55.7,Doug Martin,RB,TB,581,11
5.09,57.3,Adrian Peterson,RB,NO,662,5
5.10,57.7,Jamison Crowder,WR,WAS,895,5
5.11,59.4,Ameer Abdullah,RB,DET,779,7
5.12,59.6,Willie Snead,WR,NO,906,5
6.01,61.2,Stefon Diggs,WR,MIN,863,9
6.01,61.4,Matt Ryan,QB,ATL,456,5
6.02,62.0,CJ Anderson,RB,DEN,827,5
6.04,63.9,Brandon Marshall,WR,NYG,750,8
6.04,64.0,Jimmy Graham,TE,SEA,601,6
6.04,64.0,Bilal Powell,RB,NYJ,837,11
6.07,67.3,Tevin Coleman,RB,ATL,779,5
6.09,68.9,LeGarrette Blount,RB,PHI,716,10
6.10,69.5,Paul Perkins,RB,NYG,787,8
6.10,70.4,Kelvin Benjamin,WR,CAR,905,11
6.11,70.7,Mark Ingram,RB,NO,783,5
6.12,72.3,Andrew Luck,QB,IND,370,11
7.01,72.9,Tyler Eifert,TE,CIN,571,6
7.01,73.3,Donte Moncrief,WR,IND,833,11
7.02,74.3,Emmanuel Sanders,WR,DEN,876,5
7.04,76.3,Derek Carr,QB,OAK,452,10
7.05,76.8,Eddie Lacy,RB,SEA,806,6
7.05,77.4,Pierre Garcon,WR,SF,870,11
7.08,79.9,Delanie Walker,TE,TEN,543,8
7.08,80.4,Jeremy Maclin,WR,BAL,757,10
7.08,80.5,Theo Riddick,RB,DET,764,7
7.10,82.0,Derrick Henry,RB,TEN,742,8
7.11,83.2,Martellus Bennett,TE,GB,490,8
7.11,83.3,Frank Gore,RB,IND,729,11
7.11,83.4,Russell Wilson,QB,SEA,526,6
8.02,85.7,Samaje Perine,RB,WAS,618,5
8.02,85.9,DeVante Parker,WR,MIA,787,11
8.04,87.8,Eric Decker,WR,TEN,730,8
8.06,89.5,Kyle Rudolph,TE,MIN,525,9
8.06,89.7,Randall Cobb,WR,GB,628,8
8.06,90.1,Kareem Hunt,RB,KC,551,10
8.07,91.5,DeSean Jackson,WR,TB,643,11
8.08,92.4,CJ Prosise,RB,SEA,462,6
8.10,93.5,Ben Roethlisberger,QB,PIT,512,9
8.10,93.9,John Brown,WR,ARI,649,8
8.11,95.2,Kirk Cousins,QB,WAS,629,5
8.11,95.3,Cameron Meredith,WR,CHI,598,9
8.11,95.3,Terrance West,RB,BAL,739,10
9.01,97.4,Jameis Winston,QB,TB,605,11
9.03,99.3,Tyrell Williams,WR,LAC,683,9
9.04,100.2,Cam Newton,QB,CAR,574,11
9.05,100.6,Jamaal Charles,RB,DEN,410,5
9.06,101.7,Marcus Mariota,QB,TEN,616,8
9.06,102.3,Hunter Henry,TE,LAC,621,9
9.07,102.9,Jonathan Stewart,RB,CAR,399,11
9.10,105.6,James White,RB,NE,399,9
9.10,106.2,Duke Johnson,RB,CLE,587,9
9.11,106.5,Quincy Enunwa,WR,NYJ,494,11
10.01,108.7,Marvin Jones,WR,DET,453,7
10.01,109.4,Corey Davis,WR,TEN,478,8
10.02,109.6,Latavius Murray,RB,MIN,333,9
10.02,110.3,Matt Forte,RB,NYJ,426,11
10.02,110.4,Denver Defense,DEF,DEN,280,5
10.03,111.3,Zach Ertz,TE,PHI,659,10
10.05,113.4,Corey Coleman,WR,CLE,433,9
10.05,113.5,Philip Rivers,QB,LAC,617,9
10.06,113.5,Jacquizz Rodgers,RB,TB,849,11
10.07,115.0,Adam Thielen,WR,MIN,467,9
10.09,116.8,Rob Kelley,RB,WAS,458,5
10.10,118.2,Houston Defense,DEF,HOU,272,7
10.11,118.6,Matthew Stafford,QB,DET,572,7
11.01,121.2,Jordan Matthews,WR,PHI,367,10
11.02,121.8,Eric Ebron,TE,DET,790,7
11.02,122.3,Kansas City Defense,DEF,KC,239,10
11.03,122.7,Kenny Britt,WR,CLE,371,9
11.04,123.6,Dak Prescott,QB,DAL,480,6
11.04,124.4,Jack Doyle,TE,IND,672,11
11.05,125.2,Thomas Rawls,RB,SEA,578,6
11.06,125.6,Seattle Defense,DEF,SEA,231,6
11.07,126.5,Taylor Gabriel,WR,ATL,340,5
11.07,127.4,Eli Manning,QB,NYG,375,8
11.08,127.9,New England Defense,DEF,NE,198,9
11.08,127.9,Mike Wallace,WR,BAL,312,10
11.08,128.3,Jamaal Williams,RB,GB,528,8
11.09,128.6,Rishard Matthews,WR,TEN,259,8
11.12,132.0,John Ross,WR,CIN,276,6
12.02,133.9,Joe Williams,RB,SF,616,11
12.02,134.5,Andy Dalton,QB,CIN,396,6
12.03,135.0,Minnesota Defense,DEF,MIN,236,9
12.04,135.6,Tyrod Taylor,QB,BUF,359,6
12.05,137.2,Arizona Defense,DEF,ARI,217,8
12.05,137.3,Jeremy Hill,RB,CIN,454,6
12.08,139.5,Cole Beasley,WR,DAL,287,6
12.08,140.4,Kevin White,WR,CHI,237,9
12.09,140.6,Kenneth Dixon,RB,BAL,71,10
12.09,140.7,O.J. Howard,TE,TB,563,11
12.10,141.6,Josh Doctson,WR,WAS,304,5
12.11,142.9,Darren Sproles,RB,PHI,498,10
12.12,144.5,Justin Tucker,PK,BAL,701,10
13.01,144.8,NY Giants Defense,DEF,NYG,250,8
13.01,144.9,Sterling Shepard,WR,NYG,298,8
13.02,145.5,Marlon Mack,RB,IND,452,11
13.02,145.7,Carson Wentz,QB,PHI,291,10
13.05,148.6,Stephen Gostkowski,PK,NE,513,9
13.05,149.2,Darren McFadden,RB,DAL,387,6
13.06,149.8,Giovani Bernard,RB,CIN,339,6
13.06,150.1,Robert Woods,WR,LAR,263,8
13.07,151.1,Coby Fleener,TE,NO,407,5
13.07,151.4,Carson Palmer,QB,ARI,321,8
13.08,151.6,DeAngelo Williams,RB,PIT,17,9
13.09,152.9,Jonathan Williams,RB,BUF,295,6
13.09,153.1,Dwayne Allen,TE,NE,31,9
13.10,154.3,Alvin Kamara,RB,NO,221,5
13.10,154.4,Matt Bryant,PK,ATL,211,5
13.11,154.6,Julius Thomas,TE,MIA,300,11
13.11,154.6,Tim Hightower,RB,SF,31,11
13.11,154.7,Cameron Brate,TE,TB,52,11
13.11,155.0,Zay Jones,WR,BUF,247,6
13.11,155.4,Chris Hogan,WR,NE,16,9
13.11,155.4,Austin Hooper,TE,ATL,265,5
13.12,155.5,Tyler Lockett,WR,SEA,238,6
13.12,155.8,Atlanta Defense,DEF,ATL,245,5
13.12,156.4,Jared Cook,TE,OAK,34,10
14.01,156.6,Evan Engram,TE,NYG,143,8
14.01,156.7,James Conner,RB,PIT,201,9
14.01,156.7,Ted Ginn Jr,WR,NO,236,5
14.01,156.7,Charles Sims,RB,TB,55,11
14.01,156.8,Jason Witten,TE,DAL,58,6
14.01,157.0,Kenny Stills,WR,MIA,29,11
14.02,157.7,Dion Lewis,RB,NE,160,9
14.02,158.0,Dan Bailey,PK,DAL,185,6
14.02,158.5,Blake Bortles,QB,JAC,158,8
14.03,158.7,Carolina Defense,DEF,CAR,341,11
14.03,158.7,Chris Thompson,RB,WAS,25,5
14.03,159.1,Cooper Kupp,WR,LAR,56,8
14.03,159.4,Robert Turbin,RB,SEA,20,6
14.04,159.6,Rex Burkhead,RB,NE,46,9
14.04,160.1,Shane Vereen,RB,NYG,20,8
14.05,160.7,Breshad Perriman,WR,BAL,156,10
14.05,160.8,Marqise Lee,WR,JAC,105,8
14.05,160.9,DeAndre Washington,RB,OAK,146,10
14.05,161.1,J.J. Nelson,WR,ARI,19,8
14.05,161.3,Joe Flacco,QB,BAL,23,10
14.06,161.6,Devontae Booker,RB,DEN,25,5
14.06,161.9,Ryan Tannehill,QB,MIA,132,11
14.06,162.0,Josh Gordon,WR,CLE,23,9
14.06,162.2,Mike Williams,WR,LAC,60,9
14.06,162.4,Tavon Austin,WR,LAR,35,8
14.07,162.6,Jacksonville Defense,DEF,JAC,338,8
14.07,162.7,Mohamed Sanu,WR,ATL,63,5
14.07,162.7,Sam Bradford,QB,MIN,63,9
14.07,162.9,Mason Crosby,PK,GB,186,8
14.07,163.1,Donta Foreman,RB,HOU,44,7
14.07,163.2,Allen Hurns,WR,JAC,62,8
14.08,163.6,Deshaun Watson,QB,HOU,79,7
14.08,163.8,Baltimore Defense,DEF,BAL,235,10
14.08,164.0,Will Fuller,WR,HOU,195,7
14.09,164.7,Adam Vinatieri,PK,IND,133,11
14.11,166.8,Los Angeles Defense,DEF,LAR,116,8
14.11,167.1,David Njoku,TE,CLE,47,9
14.11,167.3,Oakland Defense,DEF,OAK,59,10
14.11,167.4,Curtis Samuel,WR,CAR,16,11
14.12,167.6,Philadelphia Defense,DEF,PHI,155,10
14.12,168.3,Matt Prater,PK,DET,135,7
14.12,168.5,San Diego Defense,DEF,LAC,107,9
15.01,168.7,Sebastian Janikowski,PK,OAK,136,10
15.02,169.5,Pittsburgh Defense,DEF,PIT,58,9
15.02,170.3,Buffalo Defense,DEF,BUF,47,6
15.03,171.3,Tampa Bay Defense,DEF,TB,20,11
15.03,171.4,Chris Boswell,PK,PIT,104,9
15.04,171.7,Cairo Santos,PK,KC,131,10
15.04,172.3,Brandon McManus,PK,DEN,127,5
15.05,172.6,Graham Gano,PK,CAR,122,11
15.05,173.2,Steven Hauschka,PK,BUF,77,6
15.05,173.2,Dustin Hopkins,PK,WAS,53,5
15.05,173.5,Shayne Graham,PK,NO,81,5
15.06,174.2,Nick Novak,PK,LAC,38,9
15.08,175.7,Roberto Aguayo,PK,TB,20,11
